incident_zip,complaint_count,open_count,missing_location_count,median_days_to_close
11434,50,0,1,0.33229166666666665
11691,46,1,0,0.13819444444444445
11420,44,0,0,71.57778935185186
11413,41,0,0,0.3125
11385,37,1,0,1.2486111111111111
11378,31,2,0,0.4486111111111111
11364,29,0,0,161.28243055555555
11435,29,0,0,0.1111111111111111
11375,28,0,1,0.15729166666666666
11422,26,0,0,2.5687499999999996
11419,25,1,0,2.9792766203703707
11432,24,0,0,0.17152777777777778
11426,22,0,0,50.8178125
11412,22,0,0,0.10868055555555556
11357,21,0,0,0.23194444444444445
11433,21,0,0,0.14791666666666667
11417,21,0,0,113.00667824074074
11414,19,0,0,14.090277777777779
11105,19,0,0,70.4731712962963
11379,19,0,0,1.7236111111111112
11411,18,0,1,0.2635416666666667
11694,18,1,0,2.025
11369,17,0,0,78.05439814814815
11418,17,0,0,1.8173611111111112
11365,17,0,0,0.9354166666666667
11361,16,0,1,42.872390046296296
11429,15,0,0,0.11944444444444445
11373,15,0,0,0.1125
11427,15,0,0,0.5506944444444445
11416,15,0,0,0.9846990740740741
11363,15,0,0,186.0967013888889
11436,14,0,0,1.1329861111111112
11358,14,0,0,3.2631944444444443
11377,14,0,0,0.8024305555555555
11421,14,0,2,3.060416666666667
11374,13,1,0,2.259375
11370,13,0,0,0.1486111111111111
11360,12,0,0,48.84494791666667
11423,12,0,0,0.17569444444444443
11362,12,0,0,1.1805555555555556
11004,11,0,0,33.287708333333335
11101,10,0,0,0.7440972222222222
11372,10,0,0,1.3197916666666667
11368,10,1,0,1.8131944444444446
11354,9,0,0,0.46805555555555556
11428,9,0,0,0.11527777777777778
11692,9,0,0,5.104861111111111
11102,8,1,0,0.6784722222222223
11693,7,0,0,0.325
11356,7,0,0,0.14791666666666667
11106,7,0,0,0.12569444444444444
11001,6,0,0,81.20401041666668
11355,6,0,0,36.43466435185185
11367,5,0,0,0.07291666666666667
11366,5,0,0,0.55625
11415,4,0,0,4.548611111111111
11104,2,0,0,0.5541666666666667
11103,2,0,1,4.099652777777778
,2,0,2,0.13819444444444445
11040,1,0,0,2.061111111111111
